frameId,isRecorded,isDropped,frameStatus,frameIndex,frameIdDiff,recordedState01
1644282976,0,1,dropped,190,2880.0,0
1644285856,0,1,dropped,191,2880.0,0
1644288736,1,0,recorded,192,2880.0,1
1644291616,1,0,recorded,193,2880.0,1
1644294496,0,1,dropped,194,2880.0,0
1644297376,0,1,dropped,195,2880.0,0
1644300256,1,0,recorded,196,2880.0,1
1644303136,1,0,recorded,197,2880.0,1
1644306016,0,1,dropped,198,2880.0,0
1644308896,1,0,recorded,199,2880.0,1
1644313216,1,0,recorded,200,4320.0,1
1644316096,0,1,dropped,201,2880.0,0
1644318976,0,1,dropped,202,2880.0,0
1644321856,1,0,recorded,203,2880.0,1
1644324736,1,0,recorded,204,2880.0,1
1644327616,0,1,dropped,205,2880.0,0
1644330496,0,1,dropped,206,2880.0,0
1644333376,1,0,recorded,207,2880.0,1
1644336256,1,0,recorded,208,2880.0,1
1644339136,0,1,dropped,209,2880.0,0
1644342016,0,1,dropped,210,2880.0,0
1644344896,1,0,recorded,211,2880.0,1
1644349216,1,0,recorded,212,4320.0,1
1644352096,0,1,dropped,213,2880.0,0
1644354976,1,0,recorded,214,2880.0,1
1644357856,1,0,recorded,215,2880.0,1
1644360736,0,1,dropped,216,2880.0,0
1644363616,0,1,dropped,217,2880.0,0
1644366496,1,0,recorded,218,2880.0,1
1644369376,1,0,recorded,219,2880.0,1
1644372256,0,1,dropped,220,2880.0,0
1644375136,1,0,recorded,221,2880.0,1
1644378016,1,0,recorded,222,2880.0,1
1644380896,0,1,dropped,223,2880.0,0
1644385216,1,0,recorded,224,4320.0,1
1644388096,1,0,recorded,225,2880.0,1
1644390976,0,1,dropped,226,2880.0,0
1644393856,0,1,dropped,227,2880.0,0
1644396736,1,0,recorded,228,2880.0,1
1644399616,1,0,recorded,229,2880.0,1
1644402496,0,1,dropped,230,2880.0,0
1644405376,0,1,dropped,231,2880.0,0
1644408256,1,0,recorded,232,2880.0,1
1644411136,1,0,recorded,233,2880.0,1
1644414016,0,1,dropped,234,2880.0,0
1644416896,1,0,recorded,235,2880.0,1
1644421216,1,0,recorded,236,4320.0,1
1644424096,0,1,dropped,237,2880.0,0
1644426976,0,1,dropped,238,2880.0,0
1644429856,1,0,recorded,239,2880.0,1
1644432736,1,0,recorded,240,2880.0,1
1644435616,0,1,dropped,241,2880.0,0
1644438496,0,1,dropped,242,2880.0,0
1644441376,1,0,recorded,243,2880.0,1
1644444256,1,0,recorded,244,2880.0,1
1644447136,0,1,dropped,245,2880.0,0
1644450016,1,0,recorded,246,2880.0,1
1644452896,1,0,recorded,247,2880.0,1
1644455776,0,1,dropped,248,2880.0,0
1644460096,0,1,dropped,249,4320.0,0
1644462976,1,0,recorded,250,2880.0,1
1644465856,1,0,recorded,251,2880.0,1
1644468736,0,1,dropped,252,2880.0,0
1644471616,1,0,recorded,253,2880.0,1
1644474496,1,0,recorded,254,2880.0,1
1644477376,0,1,dropped,255,2880.0,0
1644480256,1,0,recorded,256,2880.0,1
1644483136,1,0,recorded,257,2880.0,1
1644486016,1,0,recorded,258,2880.0,1
1644488896,0,1,dropped,259,2880.0,0
1644493216,1,0,recorded,260,4320.0,1
1644496096,1,0,recorded,261,2880.0,1
1644498976,0,1,dropped,262,2880.0,0
1644501856,0,1,dropped,263,2880.0,0
1644504736,1,0,recorded,264,2880.0,1
1644507616,1,0,recorded,265,2880.0,1
1644510496,0,1,dropped,266,2880.0,0
1644513376,1,0,recorded,267,2880.0,1
1644516256,1,0,recorded,268,2880.0,1
1644519136,0,1,dropped,269,2880.0,0
1644522016,0,1,dropped,270,2880.0,0
1644524896,1,0,recorded,271,2880.0,1
1644529216,1,0,recorded,272,4320.0,1
1644532096,0,1,dropped,273,2880.0,0
1644534976,1,0,recorded,274,2880.0,1
1644537856,1,0,recorded,275,2880.0,1
1644540736,0,1,dropped,276,2880.0,0
1644543616,0,1,dropped,277,2880.0,0
1644546496,1,0,recorded,278,2880.0,1
1644549376,1,0,recorded,279,2880.0,1
1644552256,0,1,dropped,280,2880.0,0
1644555136,0,1,dropped,281,2880.0,0
1644558016,1,0,recorded,282,2880.0,1
1644560896,1,0,recorded,283,2880.0,1
1644565216,0,1,dropped,284,4320.0,0
1644568096,1,0,recorded,285,2880.0,1
1644570976,1,0,recorded,286,2880.0,1
1644573856,0,1,dropped,287,2880.0,0
1644576736,0,1,dropped,288,2880.0,0
1644579616,1,0,recorded,289,2880.0,1
1644582496,1,0,recorded,290,2880.0,1
1644585376,0,1,dropped,291,2880.0,0
