actualSlackMs, receiveSlackMs, decodeSlackMs, receiveTimeMs, decodeStartMs, decodeFinishMs, desiredReceiveTimeMs, desiredDecodeStartMs
69.0, 129.0, 152.0, 269984110.0, 269984179.0, 269984186.0, 269984239.0, 269984262.0
145.0, -91.0, -68.0, 269984362.0, 269984507.0, 269984520.0, 269984271.0, 269984294.0
38.0, 148.0, 171.0, 269984490.0, 269984528.0, 269984533.0, 269984638.0, 269984661.0
175.0, 149.0, 172.0, 269984521.0, 269984696.0, 269984702.0, 269984670.0, 269984693.0
99.0, 147.0, 170.0, 269984604.0, 269984703.0, 269984707.0, 269984751.0, 269984774.0
40.0, 145.0, 168.0, 269984669.0, 269984709.0, 269984712.0, 269984814.0, 269984837.0
164.0, 143.0, 166.0, 269984703.0, 269984867.0, 269984872.0, 269984846.0, 269984869.0
48.0, 149.0, 172.0, 269984825.0, 269984873.0, 269984878.0, 269984974.0, 269984997.0
172.0, 148.0, 171.0, 269984859.0, 269985031.0, 269985036.0, 269985007.0, 269985030.0
35.0, 148.0, 171.0, 269985003.0, 269985038.0, 269985043.0, 269985151.0, 269985174.0
165.0, 148.0, 171.0, 269985035.0, 269985200.0, 269985205.0, 269985183.0, 269985206.0
43.0, 148.0, 171.0, 269985163.0, 269985206.0, 269985210.0, 269985311.0, 269985334.0
173.0, 149.0, 172.0, 269985193.0, 269985366.0, 269985370.0, 269985342.0, 269985365.0
81.0, 148.0, 171.0, 269985290.0, 269985371.0, 269985374.0, 269985438.0, 269985461.0
180.0, 150.0, 173.0, 269985353.0, 269985533.0, 269985538.0, 269985503.0, 269985526.0
38.0, 145.0, 168.0, 269985501.0, 269985539.0, 269985542.0, 269985646.0, 269985669.0
172.0, 149.0, 172.0, 269985529.0, 269985701.0, 269985705.0, 269985678.0, 269985701.0
80.0, 148.0, 171.0, 269985627.0, 269985707.0, 269985712.0, 269985775.0, 269985798.0
23.0, 149.0, 172.0, 269985690.0, 269985713.0, 269985717.0, 269985839.0, 269985862.0
150.0, 149.0, 172.0, 269985721.0, 269985871.0, 269985875.0, 269985870.0, 269985893.0
43.0, 148.0, 171.0, 269985834.0, 269985877.0, 269985880.0, 269985982.0, 269986005.0
182.0, 144.0, 167.0, 269985871.0, 269986053.0, 269986057.0, 269986015.0, 269986038.0
33.0, 149.0, 172.0, 269986026.0, 269986059.0, 269986063.0, 269986175.0, 269986198.0
167.0, 147.0, 170.0, 269986059.0, 269986226.0, 269986229.0, 269986206.0, 269986229.0
109.0, 149.0, 172.0, 269986122.0, 269986231.0, 269986234.0, 269986271.0, 269986294.0
46.0, 145.0, 168.0, 269986190.0, 269986236.0, 269986240.0, 269986335.0, 269986358.0
164.0, 148.0, 171.0, 269986234.0, 269986398.0, 269986403.0, 269986382.0, 269986405.0
172.0, 150.0, 173.0, 269986393.0, 269986565.0, 269986570.0, 269986543.0, 269986566.0
19.0, 150.0, 173.0, 269986552.0, 269986571.0, 269986576.0, 269986702.0, 269986725.0
149.0, 146.0, 169.0, 269986589.0, 269986738.0, 269986744.0, 269986735.0, 269986758.0
169.0, 144.0, 167.0, 269986734.0, 269986903.0, 269986909.0, 269986878.0, 269986901.0
17.0, 145.0, 168.0, 269986893.0, 269986910.0, 269986915.0, 269987038.0, 269987061.0
165.0, 148.0, 171.0, 269986922.0, 269987087.0, 269987091.0, 269987070.0, 269987093.0
52.0, 142.0, 165.0, 269987040.0, 269987092.0, 269987097.0, 269987182.0, 269987205.0
29.0, 145.0, 168.0, 269987069.0, 269987098.0, 269987101.0, 269987214.0, 269987237.0
153.0, 141.0, 164.0, 269987105.0, 269987258.0, 269987263.0, 269987246.0, 269987269.0
39.0, 149.0, 172.0, 269987225.0, 269987264.0, 269987268.0, 269987374.0, 269987397.0
167.0, 144.0, 167.0, 269987262.0, 269987429.0, 269987436.0, 269987406.0, 269987429.0
48.0, 146.0, 169.0, 269987389.0, 269987437.0, 269987442.0, 269987535.0, 269987558.0
165.0, 147.0, 170.0, 269987435.0, 269987600.0, 269987606.0, 269987582.0, 269987605.0
173.0, 149.0, 172.0, 269987593.0, 269987766.0, 269987771.0, 269987742.0, 269987765.0
84.0, 150.0, 173.0, 269987689.0, 269987773.0, 269987777.0, 269987839.0, 269987862.0
24.0, 149.0, 172.0, 269987754.0, 269987778.0, 269987782.0, 269987903.0, 269987926.0
154.0, 149.0, 172.0, 269987785.0, 269987939.0, 269987944.0, 269987934.0, 269987957.0
17.0, 149.0, 172.0, 269987929.0, 269987946.0, 269987950.0, 269988078.0, 269988101.0
142.0, 143.0, 166.0, 269987967.0, 269988109.0, 269988113.0, 269988110.0, 269988133.0
19.0, 145.0, 168.0, 269988095.0, 269988114.0, 269988118.0, 269988240.0, 269988263.0
161.0, 153.0, 176.0, 269988118.0, 269988279.0, 269988284.0, 269988271.0, 269988294.0
15.0, 144.0, 167.0, 269988270.0, 269988285.0, 269988290.0, 269988414.0, 269988437.0
150.0, 148.0, 171.0, 269988299.0, 269988449.0, 269988453.0, 269988447.0, 269988470.0
32.0, 151.0, 174.0, 269988423.0, 269988455.0, 269988458.0, 269988574.0, 269988597.0
175.0, 149.0, 172.0, 269988458.0, 269988633.0, 269988637.0, 269988607.0, 269988630.0
54.0, 150.0, 173.0, 269988585.0, 269988639.0, 269988643.0, 269988735.0, 269988758.0
169.0, 147.0, 170.0, 269988635.0, 269988804.0, 269988811.0, 269988782.0, 269988805.0
17.0, 146.0, 169.0, 269988796.0, 269988813.0, 269988816.0, 269988942.0, 269988965.0
145.0, 149.0, 172.0, 269988826.0, 269988971.0, 269988977.0, 269988975.0, 269988998.0
23.0, 148.0, 171.0, 269988955.0, 269988978.0, 269988982.0, 269989103.0, 269989126.0
149.0, 148.0, 171.0, 269988987.0, 269989136.0, 269989142.0, 269989135.0, 269989158.0
13.0, 148.0, 171.0, 269989130.0, 269989143.0, 269989147.0, 269989278.0, 269989301.0
144.0, 149.0, 172.0, 269989161.0, 269989305.0, 269989309.0, 269989310.0, 269989333.0
21.0, 148.0, 171.0, 269989290.0, 269989311.0, 269989314.0, 269989438.0, 269989461.0
147.0, 148.0, 171.0, 269989322.0, 269989469.0, 269989473.0, 269989470.0, 269989493.0
32.0, 141.0, 164.0, 269989442.0, 269989474.0, 269989478.0, 269989583.0, 269989606.0
184.0, 146.0, 169.0, 269989469.0, 269989653.0, 269989661.0, 269989615.0, 269989638.0
33.0, 144.0, 167.0, 269989630.0, 269989663.0, 269989666.0, 269989774.0, 269989797.0
162.0, 148.0, 171.0, 269989659.0, 269989821.0, 269989829.0, 269989807.0, 269989830.0
38.0, 143.0, 166.0, 269989792.0, 269989830.0, 269989833.0, 269989935.0, 269989958.0
168.0, 146.0, 169.0, 269989821.0, 269989989.0, 269989997.0, 269989967.0, 269989990.0
35.0, 148.0, 171.0, 269989963.0, 269989998.0, 269990001.0, 269990111.0, 269990134.0
191.0, 148.0, 171.0, 269989994.0, 269990185.0, 269990194.0, 269990142.0, 269990165.0
56.0, 130.0, 153.0, 269990139.0, 269990195.0, 269990201.0, 269990269.0, 269990292.0
81.0, 41.0, 64.0, 269990260.0, 269990341.0, 269990357.0, 269990301.0, 269990324.0
64.0, 150.0, 173.0, 269990294.0, 269990358.0, 269990361.0, 269990444.0, 269990467.0
171.0, 151.0, 174.0, 269990326.0, 269990497.0, 269990504.0, 269990477.0, 269990500.0
40.0, 139.0, 162.0, 269990465.0, 269990505.0, 269990511.0, 269990604.0, 269990627.0
166.0, 139.0, 162.0, 269990498.0, 269990664.0, 269990675.0, 269990637.0, 269990660.0
47.0, 135.0, 158.0, 269990630.0, 269990677.0, 269990683.0, 269990765.0, 269990788.0
152.0, 133.0, 156.0, 269990679.0, 269990831.0, 269990842.0, 269990812.0, 269990835.0
40.0, 138.0, 161.0, 269990803.0, 269990843.0, 269990849.0, 269990941.0, 269990964.0
164.0, 139.0, 162.0, 269990833.0, 269990997.0, 269991009.0, 269990972.0, 269990995.0
49.0, 138.0, 161.0, 269990962.0, 269991011.0, 269991016.0, 269991100.0, 269991123.0
169.0, 141.0, 164.0, 269990992.0, 269991161.0, 269991170.0, 269991133.0, 269991156.0
35.0, 140.0, 163.0, 269991137.0, 269991172.0, 269991178.0, 269991277.0, 269991300.0
158.0, 136.0, 159.0, 269991172.0, 269991330.0, 269991340.0, 269991308.0, 269991331.0
47.0, 142.0, 165.0, 269991295.0, 269991342.0, 269991347.0, 269991437.0, 269991460.0
166.0, 142.0, 165.0, 269991327.0, 269991493.0, 269991504.0, 269991469.0, 269991492.0
181.0, 137.0, 160.0, 269991477.0, 269991658.0, 269991668.0, 269991614.0, 269991637.0
192.0, 140.0, 163.0, 269991632.0, 269991824.0, 269991834.0, 269991772.0, 269991795.0
44.0, 141.0, 164.0, 269991792.0, 269991836.0, 269991842.0, 269991933.0, 269991956.0
163.0, 135.0, 158.0, 269991830.0, 269991993.0, 269992003.0, 269991965.0, 269991988.0
188.0, 139.0, 162.0, 269991969.0, 269992157.0, 269992168.0, 269992108.0, 269992131.0
42.0, 141.0, 164.0, 269992128.0, 269992170.0, 269992175.0, 269992269.0, 269992292.0
178.0, 140.0, 163.0, 269992161.0, 269992339.0, 269992349.0, 269992301.0, 269992324.0
49.0, 143.0, 166.0, 269992301.0, 269992350.0, 269992354.0, 269992444.0, 269992467.0
169.0, 141.0, 164.0, 269992335.0, 269992504.0, 269992515.0, 269992476.0, 269992499.0
46.0, 135.0, 158.0, 269992470.0, 269992516.0, 269992522.0, 269992605.0, 269992628.0
175.0, 142.0, 165.0, 269992495.0, 269992670.0, 269992680.0, 269992637.0, 269992660.0
57.0, 140.0, 163.0, 269992625.0, 269992682.0, 269992686.0, 269992765.0, 269992788.0
171.0, 144.0, 167.0, 269992669.0, 269992840.0, 269992851.0, 269992813.0, 269992836.0
53.0, 141.0, 164.0, 269992800.0, 269992853.0, 269992857.0, 269992941.0, 269992964.0
185.0, 145.0, 168.0, 269992827.0, 269993012.0, 269993022.0, 269992972.0, 269992995.0
192.0, 142.0, 165.0, 269992991.0, 269993183.0, 269993191.0, 269993133.0, 269993156.0
60.0, 144.0, 167.0, 269993132.0, 269993192.0, 269993197.0, 269993276.0, 269993299.0
187.0, 144.0, 167.0, 269993165.0, 269993352.0, 269993361.0, 269993309.0, 269993332.0
196.0, 144.0, 167.0, 269993325.0, 269993521.0, 269993533.0, 269993469.0, 269993492.0
191.0, 145.0, 168.0, 269993499.0, 269993690.0, 269993699.0, 269993644.0, 269993667.0
38.0, 141.0, 164.0, 269993663.0, 269993701.0, 269993706.0, 269993804.0, 269993827.0
169.0, 142.0, 165.0, 269993694.0, 269993863.0, 269993874.0, 269993836.0, 269993859.0
48.0, 137.0, 160.0, 269993828.0, 269993876.0, 269993880.0, 269993965.0, 269993988.0
159.0, 140.0, 163.0, 269993872.0, 269994031.0, 269994041.0, 269994012.0, 269994035.0
44.0, 141.0, 164.0, 269993999.0, 269994043.0, 269994048.0, 269994140.0, 269994163.0
171.0, 143.0, 166.0, 269994029.0, 269994200.0, 269994209.0, 269994172.0, 269994195.0
53.0, 143.0, 166.0, 269994158.0, 269994211.0, 269994216.0, 269994301.0, 269994324.0
174.0, 138.0, 161.0, 269994195.0, 269994369.0, 269994379.0, 269994333.0, 269994356.0
46.0, 142.0, 165.0, 269994335.0, 269994381.0, 269994386.0, 269994477.0, 269994500.0
172.0, 142.0, 165.0, 269994366.0, 269994538.0, 269994548.0, 269994508.0, 269994531.0
58.0, 144.0, 167.0, 269994492.0, 269994550.0, 269994554.0, 269994636.0, 269994659.0
182.0, 143.0, 166.0, 269994525.0, 269994707.0, 269994717.0, 269994668.0, 269994691.0
178.0, 144.0, 167.0, 269994700.0, 269994878.0, 269994887.0, 269994844.0, 269994867.0
188.0, 143.0, 166.0, 269994861.0, 269995049.0, 269995059.0, 269995004.0, 269995027.0
37.0, 141.0, 164.0, 269995023.0, 269995060.0, 269995065.0, 269995164.0, 269995187.0
168.0, 144.0, 167.0, 269995052.0, 269995220.0, 269995232.0, 269995196.0, 269995219.0
