time_ms,rtt_ms,min_rtt_ms,predicted_queue_bytes,bucket_size_bytes
10852825582,1.19019,0.305176,713.318,18000
10852826410,1.19019,0.305176,713.318,18000
10852826988,0.0305176,0.0305176,0,18000
10852827175,0.0305176,0.0305176,0,18000
10852827738,0.0305176,0.0305176,0,18000
10852827770,0.50354,0.0305176,381.256,18000
10852828410,0.50354,0.0305176,398.758,18000
10852828910,0.12207,0.0305176,77.179,18000
10852829238,0.12207,0.0305176,77.179,18000
10852830019,0.12207,0.0305176,77.179,18000
10852830145,0.869751,0.0305176,707.474,18000
10852831192,0.869751,0.0305176,707.474,18000
10852831631,2.09045,0.0305176,1736.53,18000
10852832175,2.09045,0.0305176,1736.53,18000
10852832254,1.06812,0.0305176,874.695,18000
10852833316,1.06812,0.0305176,874.695,18000
10852833566,1.2207,0.0305176,1003.33,18000
10852833911,1.2207,0.0305176,1003.33,18000
10852834614,1.38855,0.0305176,1144.82,18000
10852835129,1.297,0.0305176,1067.64,18000
10852835160,1.297,0.0305176,1067.64,18000
10852836035,1.297,0.0305176,1067.64,18000
10852836629,0.396729,0.0305176,308.716,18000
10852837317,0.396729,0.0305176,308.716,18000
10852837910,0.244141,0.12207,102.905,18000
10852838082,0.244141,0.12207,102.905,18000
10852838660,0.244141,0.12207,102.905,18000
10852838692,0.793457,0.12207,565.979,18000
10852839754,0.793457,0.12207,565.979,18000
10852840035,0.88501,0.244141,540.253,18000
10852840801,0.88501,0.244141,540.253,18000
10852841381,0.228882,0.228882,0,18000
10852842269,0.228882,0.228882,0,18000
10852842582,0.244141,0.228882,12.8632,18000
10852842942,0.244141,0.228882,12.8632,18000
10852843098,0.350952,0.228882,102.905,18000
10852843864,0.350952,0.228882,102.905,18000
10852844238,0.732422,0.228882,424.484,18000
10852844613,0.732422,0.228882,424.484,18000
10852844911,1.54114,0.228882,1106.23,18000
10852845613,0.38147,0.228882,128.632,18000
10852845848,0.38147,0.228882,128.632,18000
10852846427,1.67847,0.228882,1222,18000
10852846520,1.67847,0.228882,1222,18000
10852847035,1.17493,0.228882,797.516,18000
10852847191,1.17493,0.228882,797.516,18000
10852847583,1.38855,0.228882,977.6,18000
10852848614,0.778198,0.228882,463.074,18000
10852848661,0.778198,0.228882,463.074,18000
10852849505,0.854492,0.228882,527.39,18000
10852849566,0.854492,0.228882,527.39,18000
10852850084,0.854492,0.228882,527.39,18000
10852850879,0.854492,0.228882,527.39,18000
